Package Name,Description,Created,Modified,Versions Count,Version,Version Size (MB),Version Created,Version Modified,Download Count
zetta-demo2,,2023-07-21T15:52:33.655Z,2023-07-21T15:52:33.655Z,1,,0.0,,,0
zetta-demo,,2023-07-21T15:30:58.213Z,2023-07-21T15:30:58.213Z,1,,0.0,,,0
zetta-cidemo,,2023-07-24T11:51:50.411Z,2023-07-24T14:25:48.464Z,2,,0.0,,,0
xray,,2025-05-29T09:02:02.951Z,2025-05-29T09:00:26.844Z,1,,0.0,,,0
xmas_java_applicable,,2022-04-18T12:37:21.044Z,2023-01-18T08:33:59.363Z,1,,0.0,,,0
xmas_java,,2022-04-18T12:32:31.945Z,2023-01-18T08:34:00.56Z,1,,0.0,,,0
xmas_cve,,2022-04-10T11:17:58.216Z,2022-04-10T11:17:58.216Z,1,,0.0,,,0
wrap1,,2023-01-10T16:02:02.683Z,2023-01-10T16:02:02.683Z,1,,0.0,,,0
workload-agent,,2023-04-12T16:35:20.145Z,2023-04-12T16:35:20.145Z,1,,0.0,,,0
wordpress,,2022-12-19T12:02:05.374Z,2022-12-19T12:00:39.382Z,1,,0.0,,,0
webgoat/webgoat-8.0,,2023-02-26T22:57:19.012Z,2024-10-30T16:52:18.539Z,5,,0.0,,,0
webgoat-maven,,2025-04-11T21:36:56.271Z,2025-04-15T07:43:01.95Z,11,,0.0,,,0
webgoat-jfrog-github,,2024-07-03T16:00:33.466Z,2024-08-20T17:56:32.418Z,8,sha256__f175047ef9714a1b7952fa7408a65594032750ee29c16e1ae26c114b2002cbab,198.6,2024-08-20T17:57:32.411Z,2024-08-20T17:56:32.177Z,0
webgoat-demo,,2025-02-20T14:24:02.291Z,2025-02-21T00:54:06.828Z,1,,0.0,,,0
webgoat,,2023-02-22T09:57:36.002Z,2025-06-20T13:24:42.873Z,11,4103283124,186.11,2023-04-12T19:39:24.421Z,2023-04-12T19:38:40.628Z,0
webgoat,,2023-02-22T09:57:36.002Z,2025-06-20T13:24:42.873Z,11,4103250407,93.58,2023-04-12T19:26:58.458Z,2023-04-12T19:25:55.522Z,0
webgoat,,2023-02-22T09:57:36.002Z,2025-06-20T13:24:42.873Z,11,2025.4-SNAPSHOT,468.64,2025-03-18T14:35:27.423Z,2025-03-18T14:34:13.736Z,12
