Repository Name,Total Tags,Total Size (MB)
adamr-test-docker,5,2058.42
ado-docker-dev-local,2,451.98
adodemo-docker-dev-local,19,6036.11
adodemo-docker-nonprod-local,1,317.69
adodemo-docker-prod-local,3,953.0699999999999
alex-docker-cache,6,147.31
alex-docker-local,3,359.93
alpha-docker-dev-local,3,53.17
alpha-docker-remote-cache,44,2584.02
app-docker-dev-local,2,425.76
app1-docker-dockerhub-remote-cache,2,72.95
app1-docker-hub-remote-cache,4,161.32999999999998
app1-docker-k8s-remote-cache,1,16.85
appteama-docker-prod-local,1,317.69
ashik-docker-remote-cache,2,471.68
avanadedocker,4,2533.3
avi-docker-local,4,800.88
bintray-migration,2,34.62
boaz-docker-local,1,22.48
carlosmm-docker-dev-local,2,310.11
carlosmm-docker-local,18,1692.53
carlosmm-dockerhub-remote-cache,2,1063.95
carm-dockerdb-local,3,246.17000000000002
carm-dockerhub-remote-cache,6,2124.56
carm-poct-docker-remote-cache,1,1679.28
cgx-docker-prod-local,2,134.98
christophl-docker-dev-local,3,1443.56
default-docker-remote-cache,1,64.18
demo-dockerhub-remote-cache,3,1620.02
demo1-docker-remote-cache,1,0.01
demowei-docker-remote-cache,1,0.01
dev-yalinruntime-remote-cache,1,0.01
devnext-docker-remote-cache,1,3.09
dhanush-demo-remote-cache,2,36.41
docker-build-images,1,453.42
docker-dev-local,9,4327.28
docker-jfrog-releases-cache,1,780.43
docker-prod,4,739.13
docker-prod-local,3,114.42999999999999
docker-remote-cache,34,3382.4
docker-remote-k8s-io-cache,4,293.47
docker-test-amitt-cache,1,0.01
dotnet-docker-local,2,176.67000000000002
dro-backend-docker-dev-local,82,15125.03
dro-backend-docker-prod-local,7,898.82
dro-docker-stg-local,3,47.3
dro-docker-test-local,1,14.2
dro-iot-docker-local,31,525.43
dro-jasdemo-remote-dev-cache,1,86.77
dro-k8s-oci-local,1,0.03
dro-oci-dev-local,130,26138.16
dro-oci-local,3,361.75
dro-oci-prod-local,2,371.21999999999997
dro-oci-stg-local,4,733.31
dupe-docker-dev-local,2,192.5
dupe-docker-prod-local,1,96.25
dupe-docker-stg-local,1,96.25
dvr-game-docker-dev-local,2,257.52
dvr-game-docker-qa-local,1,121.42
dvr-game-docker-remote-cache,2,43.83
erika-docker-remote-cache,11,1163.69
external-docker-remote-cache,2,112.64
eyalde-docker-local,2,5.279999999999999
fg-docker-dev-local,9,5313.78
fg-docker-int-local,2,536.46
fg-docker-local,1,199.99
fg-docker-ppd-local,4,1305.63
fg-docker-prd-local,4,1220.56
fg-docker-prisma,6,4172.78
fg-dockerhub-cache,15,1602.52
frogs-docker-dev-remote-cache,9,2055.95
fvj-01-docker-dev-dockerhub-cache,6,3243.29
ghcr-remote-cache,4,770.8800000000001
guoyz-docker-jfrog-remote-cache,3,2740.86
guy-docker-dev-local,7,271.56
guy-docker-remote-cache,12,10268.56
guy-test-lego-cache,1,27.07
hamza-docker-dev-global,2,478.72
hotstar-local-docker-dev,2,192.03
hza-docker-dev-local,2,478.72
hza-docker-test-local,1,0.0
hza-jas-docker-remote-cache,2,87.97
hza-xray,2,176.67000000000002
jct1-docker-local,3,113.85
jct1-docker-remote-cache,2,0.02
jesseh-docker-dev-local,4,1077.36
jk-docker-demo,4,928.09
jk-test-docker-cache,5,447.45
juan-test-ec,1,3.11
juice-shop-project-docker-local,8,1050.5
krishnam-docker-dev-local,129,13232.69
marcelo-webgoat-docker-local,2,398.63
matthewy-docker-hub-cache,1,365.23
matthewy-rhel-ubi-cache,1,0.0
mikeho-github-docker-local,3,993.3000000000001
my-hza-app-main-docker-dev-local,3,140.99
my-hza-app-main-docker-remote-cache,1,256.61
ohadz-docker-remote-cache,7,1056.95
ohadz-test-docker-local,2,0.04
ptfl-docker-remote-cache,1,87.62
ptfl-jfrog-repo-cache,2,1583.73
ptfl1-docker,2,249.06
publicis-sapient-dev-docker,2,192.03
publicis-sapient-qa-docker,2,192.03
roybs-docker-remote-cache,2,731.32
shani-docker-dev-local,5,1774.29
slash-docker-dev-local,4,63.85
slash-docker-k8s-remote-cache,1,14.58
slash-docker-quay-remote-cache,2,147.19
slash-docker-remote-cache,3,345.59000000000003
springpetclinic-docker-snapshot-local,25,2112.95
srao-docker-local,1,1009.78
srao-docker-remote-cache,6,10.74
sv-docker-local,8,268.38
sv-docker-remote-cache,1,28.7
teama-docker-prod-local,1,465.91
teama-docker-qa-local,1,465.91
test-mcr-docker-remote-cache,2,838.4
testing-local-dvm,2,104.82
tomj-dockerhub-remote-cache,5,51.709999999999994
toto,1,3518.72
ubs-docker-local,1,3.25
webgoat-jfrog-github-docker-local-dev,2,398.61
webgoat-jfrog-github-docker-remote-cache,4,552.09
weibmw-docker-local,2,308.36
yesbank-docker-retail-prod,2,192.03
zhl-d-g-cache,6,67.43
zhl-docker-r2-cache,3,75.36
zhl-docker-remote-cache,16,576.94
TOTAL,889,156536.95
